Area,Renamed Polygon,Sitecode,Tidestation,Latitude.DMS,Longitude.DMS,Latitude.DD,Longitude.DD,Description,Tidetype,Polygon ID,Atlas ID#,Region,Stock,BuoySite
Phoca Rock (Columbia River),Phoca Rock,1.17,Astoria,45 34.16,122 10.28,45.5711,-122.1744,Phoca Rock,ALL,117,,Columbia River,Coastal,0
Bonneville Dam Area,Bonneville Dam Area,1.18,Astoria,45 38.83,121 56.77,45.6564,-121.9547,Bonneville Dam Area,ALL,118,,Columbia River,Coastal,0
In Tow,In Tow,1.89,Astoria,,,,,animals in tow,ALL,189,,Columbia River,Coastal,0
Unspecified-H2O,Unspecified-H2O,1.99,Astoria,46 26.45,124 04.16,46.4458,-124.0711,Animals in open water,ALL,199,,,NA,0
Hauled Out Unknown,Hauled Out Unknown,2,,,,,,unknown haulout 2.00,,200,,Willapa Bay,Coastal,0
W Shoalwater Bay,Shoalwater Bay,2.01,Aberdeen,46 24.45,124  0.05,46.4125,-124.0014,Areas along channels on west side of Shoalwater Bay.,LOW,201,30,Willapa Bay,Coastal,0
W Shoalwater Bay,Shoalwater Bay,2.01,Aberdeen,46 24.54,124  0.18,46.415,-124.005,Areas along channels in west Shoalwater Bay during pupping season.,LOW,201,31,Willapa Bay,Coastal,0
Shoalwater Bay Middle,Shoalwater Bay,2.02,Aberdeen,46 24.34,123 59.32,46.4094,-123.9922,Areas along channels in middle Shoalwater Bay during pupping season.,LOW,201,32,Willapa Bay,Coastal,0
SW of Long Island,Shoalwater Bay,2.03,Aberdeen,46 25.64,123 58.87,46.4344,-123.9908,Areas along channels southwest of Long Island during pupping season.,LOW,201,33,Willapa Bay,Coastal,0
NE of Long Island South,NE of Long Island/E of Stanley Channel,2.04,Aberdeen,46 29.24,123 56.83,46.49,-123.9564,Areas along south channel. Nursery area.,LOW,204,34,Willapa Bay,Coastal,0
NE of Long Island Middle,NE of Long Island/E of Stanley Channel,2.05,Aberdeen,46 29.76,123 57.38,46.5044,-123.9606,Areas along the middle channel.,LOW,204,35,Willapa Bay,Coastal,0
NE of Long Island North,NE of Long Island/E of Stanley Channel,2.06,Aberdeen,46 30.79,123 57.11,46.5219,-123.9531,Areas along the north channels during pupping season.,LOW,204,36,Willapa Bay,Coastal,0
NE of Long Island North,NE of Long Island/E of Stanley Channel,2.06,Aberdeen,46 31.32,123 56.89,46.5256,-123.9581,Along the northern most channel with house on pilings during pupping season.,LOW,204,37,Willapa Bay,Coastal,0
Riddle Spit Area/Oysterv,Riddle Spit Area,2.07,Aberdeen,46 34.94,124  0.60,46.5928,-124.0167,Intertidal areas along edge of shoal.,LOW,207,38,Willapa Bay,Coastal,0
S of Grassy Is.,S of Grassy Island,2.08,Aberdeen,46 37.06,124  1.38,46.6183,-124.0272,On shoals south of Grassy Island during pupping season.,LOW,208,39,Willapa Bay,Coastal,0
Ellen Sands,West Ellen Sands,2.09,Aberdeen,46 38.72,123 58.10,46.6533,-123.9694,Intertidal sand flats along Ellen Sands. Nursery area.,LOW,209,40,Willapa Bay,Coastal,0
Ellen Sands,West Ellen Sands,2.09,Aberdeen,46 39.11,123 59.23,46.6531,-123.9897,Intertidal sand flats along Ellen Sands. Nursery area.,LOW,209,41,Willapa Bay,Coastal,0
Ellen Sands,West Ellen Sands,2.09,Aberdeen,46 39.74,123 59.27,46.6706,-123.9908,Intertidal sand flats along Ellen Sands. Nursery area.,LOW,209,42,Willapa Bay,Coastal,0
Ellen Sands,West Ellen Sands,2.09,Aberdeen,46 40.58,123 59.05,46.6828,-123.9847,Intertidal sand flats along Ellen Sands. Nursery area.,LOW,209,43,Willapa Bay,Coastal,0
Pine Island Channel,Pine Island Channel,2.1,Aberdeen,46 40.98,123 57.64,46.6939,-123.9678,Shoals along Pine Island channel.,LOW,210,44,Willapa Bay,Coastal,0
Pine Island Channel,Pine Island Channel,2.1,Aberdeen,46 40.74,123 57.67,46.6872,-123.9686,Shoals along Pine Island channel.,LOW,210,45,Willapa Bay,Coastal,0
Pine Island Channel,Pine Island Channel,2.1,Aberdeen,46 40.15,123 56.95,46.6708,-123.9597,Shoals along Pine Island channel during pupping season. Nursery area.,LOW,210,46,Willapa Bay,Coastal,0
E of Toke Point,E of Toke Point,2.11,Aberdeen,46 42.63,123 55.90,46.7175,-123.9417,Shoals along channels east of Toke Point.,LOW,211,47,Willapa Bay,Coastal,0
Entrance Shoals,Entrance Shoals,2.12,Aberdeen,46 42.71,124  3.04,46.7197,-124.0511,Along north side of main shoal in entrance to Willapa Bay.,LOW,212,48,Willapa Bay,Coastal,0
Entrance Shoals,Entrance Shoals,2.12,Aberdeen,46 41.71,124  2.00,46.7031,-124.0333,Along south side of main shoal in entrance to Willapa Bay.,LOW,212,49,Willapa Bay,Coastal,0
Entrance Shoals,Entrance Shoals,2.12,Aberdeen,46 40.42,124  0.74,46.6783,-124.0206,On southeast shoal in entrance to Willapa Bay.,LOW,212,50,Willapa Bay,Coastal,0
Entrance Shoals,Entrance Shoals,2.12,Aberdeen,46 41.63,124  5.73,46.7008,-124.1036,On southwest shoals in entrance to Willapa Bay during pupping season.,LOW,212,51,Willapa Bay,Coastal,0
Entrance Shoals,Entrance Shoals,2.12,Aberdeen,46 40.65,124  6.03,46.6847,-124.1008,On south shoals in entrance to Willapa Bay during the pupping season.,LOW,212,52,Willapa Bay,Coastal,0
Enterance Shoals,Shoal between Ellen Sands/Entrance,2.12,,,,,,Shoal between Ellen Sands & Entrance,LOW,212,,Willapa Bay,Coastal,0
Ledbetter Shoals,Ledbetter Shoals,2.13,Aberdeen,46 39.93,124  3.22,46.6758,-124.0561,Along shoals north of Leadbetter Point during pupping season.,LOW,213,53,Willapa Bay,Coastal,0
Ledbetter Shoals,Ledbetter Shoals,2.13,Aberdeen,46 38.36,124  0.89,46.6433,-124.0247,Shoals southeast of Leadbetter Point.,LOW,213,54,Willapa Bay,Coastal,0
Ledbetter Shoals,Ledbetter Shoals,2.13,Aberdeen,46 39.83,124  2.47,46.6731,-124.0464,Shoals northeast of Leadbetter Point during pupping season.,LOW,213,55,Willapa Bay,Coastal,0
Ledbetter Shoals,Ledbetter Shoals,2.13,Aberdeen,46 39.42,124  2.21,46.6617,-124.0392,On shoals east of Leadbetter Point.,LOW,213,56,Willapa Bay,Coastal,0
In Tow,In Tow,2.89,,,,,,animals in tow,ALL,289,,Willapa Bay,Coastal,0
Unspecified-H2O,Unspecified-H2O,2.99,Aberdeen,?,?,,,Animals in open water,ALL,299,,,NA,0
Hauled Out Unknown,Hauled Out Unknown,3,,,,,,unknown haulout 3.00,,300,,Grays Harbor,Coastal,0
South Bay,South Bay,3.01,Aberdeen,46 52.83,124  4.08,46.8897,-124.0689,Along intertidal channels on east side of bay.,LOW,301,57,Grays Harbor,Coastal,0
Whitcomb Flats N,Whitcomb Flats,3.02,Aberdeen,46 54.98,124  4.64,46.9272,-124.0844,Along north side of Whitcomb Flats.,LOW,303,58,Grays Harbor,Coastal,0
E of Whitcomb Flats,Whitcomb Flats,3.03,Aberdeen,46 55.04,124  2.27,46.9178,-124.0408,Along south side of shoal east of Whitcomb Flats during pupping season.,LOW,303,59,Grays Harbor,Coastal,0
E of Whitcomb Flats,Whitcomb Flats,3.03,Aberdeen,46 54.81,124  3.02,46.9225,-124.0506,Along south side of shoal east of Whitcomb Flats during pupping season.,LOW,303,60,Grays Harbor,Coastal,0
E of Whitcomb Flats,Whitcomb Flats,3.03,Aberdeen,46 54.43,124  2.88,46.9119,-124.0578,On shoal southeast of Whitcomb Flats.,LOW,303,61,Grays Harbor,Coastal,0
Midharbor Flats,Midharbor Flats,3.04,Aberdeen,46 56.93,123 58.42,46.9592,-123.9783,On shoals on north side of midharbor flats during pupping season.,LOW,304,62,Grays Harbor,Coastal,0
Midharbor Flats,Midharbor Flats,3.04,Aberdeen,46 56.32,123 59.94,46.9422,-124.0094,On shoals on northwest side of midharbor flats during pupping season. Nursery area.,LOW,304,63,Grays Harbor,Coastal,0
Midharbor Flats,Midharbor Flats,3.04,Aberdeen,46 56.11,123 56.89,46.9364,-123.9581,Shoals along south side of  midharbor flats during pupping season.,LOW,304,64,Grays Harbor,Coastal,0
Sand Island Shoals,Shoal W of Mini Moon Island (Airport),3.05,Aberdeen,46 57.35,123 59.81,46.9597,-124.0058,On east side of shoal near rangefinders during pupping season. Nursery area.,LOW,305,65,Grays Harbor,Coastal,0
Sand Island Shoals Area,Shoal W of Mini Moon Island (Airport),3.05,Aberdeen,46 57.50,123 59.92,46.9639,-124.0089,On north side of shoal near rangefinders during pupping season.,LOW,305,66,Grays Harbor,Coastal,0
Sand Island Shoals Area,Sand Island Shoals,3.06,Aberdeen,46 56.88,124  1.13,46.9578,-124.0203,On south side of south shoal during pupping season.,LOW,306,67,Grays Harbor,Coastal,0
Sand Island Shoals Area,Sand Island Shoals,3.06,Aberdeen,46 56.91,124  1.61,46.9586,-124.0336,On north side of south shoal.,LOW,306,68,Grays Harbor,Coastal,0
Sand Island Shoals Area,Sand Island Shoals,3.07,Aberdeen,46 57.11,124  2.05,46.9531,-124.0347,On north side of middle shoal during pupping season.,LOW,306,69,Grays Harbor,Coastal,0
Sand Island Shoals Area,Sand Island Shoals,3.07,Aberdeen,46 57.19,124  1.42,46.9553,-124.0283,Along southeast side of middle shoal during pupping season.,LOW,306,70,Grays Harbor,Coastal,0
Sand Island Shoals Area,Sand Island Shoals,3.07,Aberdeen,46 56.71,124  2.15,46.9531,-124.0375,Along south side of middle shoal.,LOW,306,71,Grays Harbor,Coastal,0
Sand Island Shoals Area,Sand Island Shoals,3.07,Aberdeen,46 56.45,124  2.81,46.9458,-124.0558,Along southwest side of middle shoal during pupping season.,LOW,306,72,Grays Harbor,Coastal,0
Sand Island Shoals Area,Sand Island Shoals,3.08,Aberdeen,46 57.03,124  2.42,46.9508,-124.045,On south side of the north shoal during pupping season.,LOW,306,73,Grays Harbor,Coastal,0
S Side of Sand Is.,S Side of Sand Island,3.09,Aberdeen,46 57.38,124  2.90,46.9606,-124.0583,Shoals across channel on south side of island.  Nursery area.,LOW,309,74,Grays Harbor,Coastal,0
S of Sand Is.,S Side of Sand Island,3.09,Aberdeen,46 57.58,124  3.07,46.9661,-124.0519,Along channel on south side of island. Nursery area.,LOW,309,75,Grays Harbor,Coastal,0
S Side of Sand Is.,S Side of Sand Island,3.09,Aberdeen,46 57.26,124  3.31,46.9572,-124.0586,Along channel on south side of island. Nursery area.,LOW,309,76,Grays Harbor,Coastal,0
S Side of Sand Is.,S Side of Sand Island,3.09,Aberdeen,46 58.03,124  2.09,46.9675,-124.0358,Along channel on south side of island. Nursery area.,LOW,309,77,Grays Harbor,Coastal,0
S Side of Sand Is.,S Side of Sand Island,3.09,Aberdeen,46 57.61,124  3.40,46.9669,-124.0611,Along channel on south side of island. Nursery area.,LOW,309,78,Grays Harbor,Coastal,0
N Side of Sand Is.,N Side of Sand Island,3.1,Aberdeen,46 57.82,124  3.37,46.9728,-124.0603,Along channel on north side of island. Nursery area.,LOW,310,79,Grays Harbor,Coastal,0
NW of Sand Is.,N Side of Sand Island,3.11,Aberdeen,46 58.01,124  3.83,46.9669,-124.0731,On northwest tip of Sand Island.,LOW,310,80,Grays Harbor,Coastal,0
NW of Sand Is.,N Side of Sand Island,3.11,Aberdeen,46 57.68,124  3.99,46.9689,-124.0775,Shoals west of Sand Island during pupping season.,LOW,310,81,Grays Harbor,Coastal,0
S Side of Goose Is.,Goose Island Shoals,3.12,Aberdeen,46 58.56,124  3.85,46.9822,-124.0736,Along channel on the south side of Goose Island. Nursery area.,LOW,312,82,Grays Harbor,Coastal,0
NW End of Goose Is.,Goose Island Shoals,3.13,Aberdeen,46 58.91,124  4.27,46.9919,-124.0742,Northwest tip of Goose Island during pupping season.,LOW,312,83,Grays Harbor,Coastal,0
East Bay/Chenoise Crk.,East Bay,3.14,Aberdeen,46 59.93,124  2.78,47.0092,-124.055,Along Chenois Creek channel during pupping season.,LOW,314,84,Grays Harbor,Coastal,0
East Bay/Chenoise Crk.,East Bay,3.14,Aberdeen,47  1.47,124  2.73,47.0297,-124.0536,Along Chenois Creek channel during pupping season.,LOW,314,85,Grays Harbor,Coastal,0
East Bay/Chenoise Crk.,East Bay,3.14,Aberdeen,47  1.39,124  2.09,47.0275,-124.0358,Along Chenois Creek channel during pupping season.,LOW,314,86,Grays Harbor,Coastal,0
East Bay/Chenoise Crk.,East Bay,3.14,Aberdeen,47  0.79,124  2.06,47.0219,-124.035,Along Chenois Creek channel during pupping season.,LOW,314,87,Grays Harbor,Coastal,0
East Bay/Chenoise Crk.,East Bay,3.14,Aberdeen,47  0.45,124  2.32,47.0125,-124.0422,Along Chenois Creek channel during pupping season.,LOW,314,88,Grays Harbor,Coastal,0
East Bay/Small Channel,East Bay,3.15,Aberdeen,47  0.27,124  2.92,47.0075,-124.0589,Along small deadend channel in East Bay. Nursery area.,LOW,314,89,Grays Harbor,Coastal,0
East Bay/Main Channel,East Bay,3.16,Aberdeen,47  0.78,124  3.05,47.0217,-124.0514,Along main channel in East Bay during pupping season.,LOW,314,90,Grays Harbor,Coastal,0
Shoals NW of Goose Is.,Channel NW of Goose Island Shoals,3.17,Aberdeen,46 59.23,124  4.66,46.9897,-124.085,Along channel in shoals northwest of Goose Island during pupping season.,LOW,317,91,Grays Harbor,Coastal,0
Shoals NW of Goose Is.,Channel NW of Goose Island Shoals,3.17,Aberdeen,46 59.65,124  5.98,47.0014,-124.1106,Along channel in shoal northwest of Goose Island.,LOW,317,92,Grays Harbor,Coastal,0
Shoals E of Ocean Shores,Channel E of Duck Lake,3.18,Aberdeen,46 58.09,124  7.59,46.9692,-124.1331,Shoals along channel east of Oyehut/Ocean Shores. Nursery area.,LOW,318,93,Grays Harbor,Coastal,0
N of Campbell Slough,North Bay W Channel,3.19,Aberdeen,47  0.45,124  5.91,47.0125,-124.1086,Mud flats along Cambell Slough during pupping season.,LOW,319,94,Grays Harbor,Coastal,0
North Bay/West Channel,North Bay W Channel,3.2,Aberdeen,47  1.15,124  6.59,47.0208,-124.1164,Mud flats along the west channel into North Bay. Nursery area.,LOW,319,95,Grays Harbor,Coastal,0
North Bay/West Channel,North Bay W Channel,3.2,Aberdeen,47  1.54,124  7.01,47.0317,-124.1169,Mud flats along the west channel into North Bay. Nursery area.,LOW,319,96,Grays Harbor,Coastal,0
North Bay/West Channel,North Bay W Channel,3.2,Aberdeen,47  0.82,124  5.89,47.0228,-124.1081,Mud flats along the west channel into North Bay. Nursery area.,LOW,319,97,Grays Harbor,Coastal,0
North Bay/East Channel,North Bay E Channel,3.21,Aberdeen,47  1.92,124  5.54,47.0422,-124.0983,Mud flats along the east channel into North Bay. Nursery area.,LOW,321,98,Grays Harbor,Coastal,0
North Bay/East Channel,North Bay E Channel,3.21,Aberdeen,47  1.55,124  5.72,47.0319,-124.1033,Mud flats along the east channel into North Bay.,LOW,321,99,Grays Harbor,Coastal,0
North Bay/East Channel,North Bay E Channel,3.21,Aberdeen,47  1.21,124  5.45,47.0225,-124.0958,Mud flats along the east channel into North Bay. Nursery area.,LOW,321,100,Grays Harbor,Coastal,0
North Bay/NW Channel,North Bay NW Channel,3.22,Aberdeen,47  1.36,124  8.17,47.0267,-124.1381,Mud flats along the northwest most channel into North Bay during pupping season.,LOW,322,101,Grays Harbor,Coastal,0
Dock/ Westport Marina,Docks/Westport Marina,3.23,Aberdeen,46 54.38,124  6.33,46.9106,-124.1092,Docks/Westport Marina,ALL,323,,Grays Harbor,Coastal,0
In Tow,In Tow,3.89,Aberdeen,,,,,animals in tow,ALL,389,,Grays Harbor,Coastal,0
Unspecified-H2O,Unspecified-H2O,3.99,Aberdeen,?,?,,,Animals in open water,ALL,399,,,NA,0
Hauled Out Unknown,Hauled Out Unknown,4,Aberdeen,,,,,unknown haulout 4.00,,400,,Olympic Coast S,Coastal,0
Cape Elizabeth,Cape Elizabeth,4.01,Aberdeen,47 21.32,124 19.19,47.3589,-124.3219,Intertidal reef areas off Cape Elizabeth.,LOW,401,102,Olympic Coast S,Coastal,0
S of Split Rk (Rk 535),Rock 535/Split Rock/Willoughby Rock,4.02,Aberdeen,47 23.99,124 21.58,47.4108,-124.3661,Unnamed rock (USFWS ID 535) south of Spit Rock.,ALL,402,103,Olympic Coast S,Coastal,0
Split Rock Area,Rock 535/Split Rock/Willoughby Rock,4.03,Aberdeen,47 24.39,124 21.76,47.4108,-124.3711,Along the west and south sides of Split Rock.,ALL,402,104,Olympic Coast S,Coastal,0
Split Rock Area (Rk 533/532),Rock 535/Split Rock/Willoughby Rock,4.03,Aberdeen,47 24.44,124 21.50,47.4122,-124.3639,Small intertidal rock (USFWS ID 533) to east of Split Rock.,ALL,402,105,Olympic Coast S,Coastal,0
Split Rock Area,Rock 535/Split Rock/Willoughby Rock,4.03,Aberdeen,47 24.32,124 21.47,47.4089,-124.3631,Small intertidal rock (USFWS ID 534) to east of Split Rock.,ALL,402,106,Olympic Coast S,Coastal,0
Willoughby Rock,Rock 535/Split Rock/Willoughby Rock,4.23,Aberdeen,47 24.64,124 21.20,47.4178,-124.3556,South side of Willoughby Rock on intertidal rocks and reefs.,LOW,402,126,Olympic Coast S,Coastal,0
Sea Lion Rock (South Coast),Rock Sea lion rock (South Coast),4.04,Aberdeen,47  27,124 24.20,47.0333,-124.4056,Sea Lion Rock (USFWS ID 502) about 3 miles northwest of Split Rock.,LOW,404,107,Olympic Coast S,Coastal,0
Destruction Is./W End,Destruction Island,4.05,Aberdeen,47 40.35,124 29.30,47.6764,-124.4917,Along intertidal channel and reef areas on west end of island.,LOW,405,108,Olympic Coast S,Coastal,0
Destruction Is./NE End,Destruction Island,4.06,Aberdeen,47 40.73,124 28.76,47.6869,-124.4878,On intertidal reefs and main beach area on the northeast end of island. MA's in winter and spring.,LOW,405,109,Olympic Coast S,Coastal,0
Islet N of Hoh River,Diamond Rock Reef (Reef N of Hoh River Mouth),4.07,Aberdeen,47 45.23,124 27.24,47.7564,-124.4567,On intertidal reefs just north of the Hoh River 'Diamond Rock'.,LOW,407,110,Olympic Coast S,Coastal,0
Alexander Is,Alexander Island,4.08,Aberdeen,47 47.90,124 30.23,47.8083,-124.5064,Intertidal areas along the east side of Alexander Island.,LOW,408,111,Olympic Coast S,Coastal,0
Goodman Creek Area,Mouth of Goodman Creek,4.09,Aberdeen,47 49.24,124 30.66,47.8233,-124.5183,Intertidal rocks on south side of Goodman Creek.,LOW,409,112,Olympic Coast S,Coastal,0
S of Toleak Point,Reef S of Toleak Point,4.1,Aberdeen,47 49.64,124 32.15,47.8344,-124.5375,Intertidal reef area south of Toleak Point.,LOW,410,113,Olympic Coast S,Coastal,0
Toleak Point,Toleak Point,4.11,Aberdeen,47 49.96,124 32.60,47.8433,-124.55,Intertidal reef areas at Toleak Point.,LOW,411,114,Olympic Coast S,Coastal,0
N of Toleak Point,Toleak Point,4.12,Aberdeen,47 50.24,124 32.65,47.84,-124.5514,Intertidal reefs and rocks in bay north of Toleak Point. Nursery area.,LOW,411,115,Olympic Coast S,Coastal,0
Strawberry Point,Strawberry Point,4.13,Aberdeen,47 50.70,124 33.30,47.8528,-124.5583,Intertidal areas at Strawberry Point.,LOW,413,116,Olympic Coast S,Coastal,0
Giants Graveyard,Giant's Graveyard,4.14,Aberdeen,47 51.18,124 34.00,47.855,-124.5667,Intertidal areas at Giants Graveyard. Nursery area.,LOW,414,117,Olympic Coast S,Coastal,0
Giants Graveyard,Giant's Graveyard,4.14,Aberdeen,47 51.01,124 33.76,47.8503,-124.5711,Intertidal areas at Giants Graveyard. Nursery area.,LOW,414,118,Olympic Coast S,Coastal,0
NE of Giants Graveyard,NE of Giants Graveyard/W of Scotts Bluff,4.15,Aberdeen,47 51.61,124 33.74,47.8669,-124.5706,Intertidal areas northeast of Giants Graveyard during pupping season.,LOW,415,119,Olympic Coast S,Coastal,0
S Side Teawhit Head,S Side Teawhit Head,4.16,Aberdeen,47 52.26,124 36.37,47.8739,-124.6103,Intertidal reef areas along the south side of Teawhit Head.,LOW,416,120,Olympic Coast S,Coastal,0
Quillayute Needles,Quillayute Needles,4.17,Aberdeen,47 53.02,124 38.08,47.8839,-124.6356,Intertidal areas on west side of Quilleyute Needles.,LOW,417,121,Olympic Coast S,Coastal,0
Pt Grenville,Point Grenville,4.18,Aberdeen,47 18.09,124 16.55,47.3025,-124.2819,Intertidal areas at Point Grenville. Intermitent use.,LOW,418,122,Olympic Coast S,Coastal,0
Kalaloch Rocks,Kalaloch Rocks,4.2,Aberdeen,47 36.11,124 22.71,47.6031,-124.3864,Intertidal reef area at Kalaloch Rocks. Intermittent use.,LOW,420,123,Olympic Coast S,Coastal,0
Perkins Reef Area (Rk 443),Perkins Reef/Rock 443,4.21,Aberdeen,47 46.79,124 29.63,47.7886,-124.5008,Reef areas inshore from Perkins Reef. Intermittent use.,LOW,421,124,Olympic Coast S,Coastal,0
Flat Rock (Rk 539),Flat Rock (RK539),4.22,Aberdeen,47 22.68,124 20.72,47.3856,-124.3533,Flat Rock (USFWS ID 539). Intermittent use.,LOW,422,125,Olympic Coast S,Coastal,0
In Tow,In Tow,4.89,Aberdeen,,,,,animals in tow,ALL,489,,Olympic Coast S,Coastal,0
Unspecified-H2O,Unspecified-H2O,4.99,Aberdeen,?,?,,,Animals in open water,ALL,499,,,NA,0
Hauled Out Unknown,Hauled Out Unknown,5,Aberdeen,,,,,unknown haul out location 5.00,,500,,Olympic Coast N,Coastal,0
S of Cape Johnson,Point S of Chilean Memorial,5.01,Aberdeen,47 57.16,124 40.25,47.9544,-124.6736,Intertidal rocks and reefs south of Cape Johnson.,LOW,501,127,Olympic Coast N,Coastal,0
S of Cape Johnson,Point S of Chilean Memorial,5.01,Aberdeen,47 57.40,124 40.30,47.9611,-124.675,Intertidal reefs around point south of Cape Johnson.,LOW,501,128,Olympic Coast N,Coastal,0
S of Cape Johnson,Point S of Chilean Memorial,5.01,Aberdeen,47 57.65,124 39.95,47.9681,-124.6764,Intertidal reefs in bay south of Cape Johnson (Chilean Memorial).,LOW,501,129,Olympic Coast N,Coastal,0
